FEEDBACK_ID,TICKET_ID,RATING,COMMENTS
1,330,1,The cries and eerie sounds were not scary.
2,321,1,The actors were boring!
3,147,3,The doctor chasing us with a syringe was frightening!
4,4,3,Was indifferent to the graveyard scene with the groaning zombies.
5,101,2,The ghostly apparitions were eerie.
6,288,1,The special effects were unimpressive!
7,201,4,I jumped every time a clown popped out.
8,286,3,I felt a spooky presence when the ghost appeared!
9,116,4,I almost got bitten a zombie!
10,434,1,The clown with the chainsaw was not scary!
11,170,2,The straitjacket costumes were cheap looking.
12,497,2,The insane asylum patients were not convincing!
13,223,2,The doctor chasing us with a syringe was predictable!
14,337,1,The actors were terrible!
15,226,1,The insane asylum patients were not convincing!
16,62,2,The makeup was believable.
17,155,4,I disliked the atmosphere and setting.
18,304,3,The vampire bite marks looked unconvincing!
19,139,4,The whispers and eerie sounds were unsettling.
20,445,2,"So many zombies, I could not escape! "
21,499,3,I disliked the theme and decorations.
22,417,2,It was a waste of money!
23,105,2,The makeup was poorly done.
24,478,2,It was a waste of money!
25,214,2,The makeup was amateurish.
26,455,1,The special effects were cheap!
27,153,2,Felt like I was in a real asylum!
28,477,1,The doctor chasing us with a syringe was lame!
29,84,3,It was frightening!
30,257,2,The actors were terrible!
31,65,3,The clowns were not funny and amusing at the same time.
32,395,4,I loved the atmosphere and decorations.
33,468,4,It was terrifying!
34,190,4,The zombie makeup was fantastic!
35,68,2,The special effects were cheap!
36,329,4,Hated the graveyard scene with the groaning zombies.
37,177,4,The padded cells were a creepy detail.
38,265,3,I almost got grabbed a zombie!
39,229,1,The actors were boring!
40,123,2,The padded cells were a waste of space.
41,14,2,The actors were great!
42,89,2,I hated the atmosphere and design.
43,17,4,The special effects were awesome!
44,495,4,The straitjacket costumes were convincing.
45,90,2,The actors were terrible!
46,449,3,The moaning sounds were repetitive.
47,418,4,I felt a cold chill when the ghost appeared!
48,114,3,I liked the atmosphere and design.
49,372,2,It was a waste of money!
50,119,4,The circus music was a perfect fit.
51,317,4,It was scary!
52,148,2,I jumped every time a clown popped out.
53,359,4,The old mansion setting was dull for ghosts.
54,75,2,The vampire costumes and fangs were cheap!
55,134,5,The whispers and eerie sounds were unsettling.
56,388,5,The actors were amazing!
57,414,3,The makeup was very realistic.
58,300,2,The circus music was a bad choice.
59,446,4,The actors were amazing!
60,16,4,I disliked the ambiance and design.
61,117,2,I loved the theme and decorations.
62,448,2,The moans and eerie sounds were not scary.
63,46,2,I loved the atmosphere and setting.
64,237,3,The zombie makeup was unrealistic!
65,325,3,The makeup was very realistic.
66,433,2,The makeup was poorly done.
67,438,1,The insane asylum patients were boring!
68,157,3,Was indifferent to the graveyard scene with the groaning zombies.
69,247,2,It was frightening!
70,107,2,The actors were boring!
71,402,3,The clowns were freaky and amusing at the same time.
72,137,2,The special effects were mind-blowing!
73,383,4,The groaning sounds were perfect.
74,427,2,The makeup was amateurish.
75,294,4,The special effects were incredible!
76,31,2,I yawned every time a clown popped out.
77,469,2,The vampires flying around added to the atmosphere.
78,72,4,Felt like I was in a unrealistic asylum!
79,323,5,It was terrifying!
80,379,1,The makeup was poorly done.
81,76,5,The ghostly apparitions were unsettling.
82,424,4,It was terrifying!
83,401,3,The circus music was a bad choice.
84,305,3,I loved the theme and decorations.
85,95,2,I almost got grabbed a zombie!
86,248,3,The old mansion setting was great for ghosts.
87,327,4,The special effects were mind-blowing!
88,29,2,The actors were great!
89,484,2,The insane asylum patients were boring!
90,73,4,The vampire costumes and fangs were awesome!
91,356,3,The circus music was a great addition.
92,71,4,It was scary!
93,191,5,It was terrifying!
94,136,1,The makeup was poorly done.
95,242,4,The straitjacket costumes were ill-fitting.
96,184,4,I enjoyed the atmosphere and design.
97,268,4,I liked the ambiance and setting.
98,353,2,The special effects were unimpressive!
99,132,1,The clown with the chainsaw was not scary!
100,50,3,The straitjacket costumes were convincing.
101,231,2,The doctor chasing us with a syringe was predictable!
102,312,1,The actors were terrible!
103,113,4,Felt like I was in a unrealistic asylum!
104,328,1,It was a waste of money!
105,254,2,The padded cells were a uninspired.
106,496,1,The clown with the chainsaw was not scary!
107,1,3,The clowns were freaky and funny at the same time.
108,205,4,The special effects were mind-blowing!
109,462,2,It was frightening!
110,30,3,The vampire bite marks looked convincing!
111,104,4,"Tons of zombies, I was overwhelmed! "
112,138,2,I hated the ambiance and setting.
113,466,4,The actors were fantastic!
114,493,5,The special effects were incredible!
115,186,3,Was indifferent to the graveyard scene with the groaning zombies.
116,185,4,The clown with the chainsaw was horrifying!
117,272,2,The makeup was believable.
118,271,2,The funhouse mirrors were weird.
119,69,4,The clown with the chainsaw was horrifying!
120,54,2,I hated the atmosphere and design.
121,429,5,The special effects were incredible!
122,111,4,The actors were amazing!
123,51,5,The doctor chasing us with a syringe was intense!
124,319,2,The makeup was amateurish.
125,243,1,It was a waste of money!
126,437,2,The actors were boring!
127,239,4,The actors were amazing!
128,206,5,The clowns were creepy and unoriginal at the same time.
129,168,2,The straitjacket costumes were cheap looking.
130,171,3,I liked the theme and setting.
131,301,2,The clown with the chainsaw was ridiculous!
132,98,1,The makeup was amateurish.
133,194,3,The circus music was a nice touch.
134,189,4,The makeup was convincing.
135,142,3,I felt a cold chill when the ghost appeared!
136,435,2,The drifting sheets and chains were predictable.
137,320,2,The funhouse mirrors were disorienting.
138,463,3,I felt a cold chill when the ghost appeared!
139,245,3,It was scary!
140,261,3,I liked the ambiance and design.
141,9,3,The old mansion setting was perfect for ghosts.
142,500,5,The actors were amazing!
143,490,2,It was not scary at all!
144,274,2,The special effects were unimpressive!
145,266,4,The ghostly apparitions were cheesy.
146,439,4,I disliked the ambiance and decorations.
147,453,4,The actors were fantastic!
148,37,4,The zombie makeup was incredible!
149,277,1,The doctor chasing us with a syringe was predictable!
150,289,4,The insane asylum patients were creepy!
151,115,2,It was a waste of money!
152,233,4,I enjoyed the atmosphere and design.
153,378,4,The vampire costumes and fangs were realistic!
154,405,2,The padded cells were a waste of space.
155,336,4,Hated the graveyard scene with the groaning zombies.
156,23,4,The special effects were incredible!
157,238,4,It was frightening!
158,7,4,The straitjacket costumes were convincing.
159,309,1,The makeup was poorly done.
160,55,3,The circus music was a annoying distraction.
161,425,3,Hated the graveyard scene with the groaning zombies.
162,421,2,The actors were boring!
163,358,3,I enjoyed the atmosphere and setting.
164,420,2,The clown with the chainsaw was not scary!
165,163,3,The shrieking sounds were spot-on.
166,79,4,The straitjacket costumes were convincing.
167,347,4,The actors were fantastic!
168,470,5,The insane asylum patients were truly terrifying!
169,384,4,The makeup was convincing.
170,103,3,The clown with the chainsaw was ridiculous!
171,375,3,I enjoyed the atmosphere and decorations.
172,26,4,I loved the theme and setting.
173,181,1,The actors were boring!
174,326,1,The padded cells were a uninspired.
175,11,4,The special effects were incredible!
176,362,3,The vampire costumes and fangs were so cool!
177,109,2,I hated the theme and design.
178,456,5,The special effects were incredible!
179,260,1,I hated the ambiance and decorations.
180,80,1,The actors were boring!
181,166,4,Felt like I was in a real asylum!
182,250,2,The clown with the chainsaw was ridiculous!
183,377,4,The special effects were mind-blowing!
184,408,2,The zombie makeup was disappointing!
185,350,4,The makeup was very realistic.
186,397,3,The circus music was a bad choice.
187,2,4,The makeup was very realistic.
188,173,2,The special effects were unimpressive!
189,192,1,It was a waste of money!
190,195,3,The makeup was convincing.
191,208,2,The special effects were unimpressive!
192,415,4,I felt a cold chill when the ghost appeared!
193,280,1,The insane asylum patients were boring!
194,159,4,The circus music was a great addition.
195,487,2,The moans and eerie sounds were disturbing.
196,22,4,I disliked the blood-red lighting and decorations.
197,220,4,"Not enough zombies, I was not scared. "
198,25,2,Felt like I was in a fake asylum!
199,334,1,The funhouse mirrors were boring.
200,193,1,The insane asylum patients were not convincing!
